temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,dew_point_c,visibility_km,uv_index,temp_change_3h,pressure_change_3h,month,will_rain
29.97,33.46,998.92,12.67,145.56,91.65,16.66,8.14,7.15,3.15,1.04,6,1
23.62,35.19,1004.8,12.6,176.39,5.84,10.66,16.63,0.38,-4.93,1.36,5,0
31.48,56.86,1008.77,17.21,127.86,16.75,22.85,3.39,10.57,-0.74,0.74,10,0
40.23,42.9,1028.76,1.34,100.56,41.44,28.81,8.97,6.19,-4.24,1.75,9,0
22.66,39.8,995.56,14.77,242.91,37.25,10.62,18.69,6.2,-7.83,-1.21,2,0
22.66,71.62,1007.64,4.94,280.28,41.81,16.98,10.33,10.38,1.1,0.53,1,0
40.79,72.08,1027.3,10.61,314.62,20.65,35.21,14.64,10.22,-0.53,1.4,2,1
32.67,85.96,1008.5,22.26,55.92,14.95,29.87,16.62,2.42,-4.19,2.71,10,1
20.31,53.42,1019.91,18.34,296.23,50.92,10.99,4.47,10.24,-1.55,0.09,5,0
30.43,25.85,1010.91,1.9,91.73,92.81,15.59,4.76,8.1,1.33,-0.43,8,0
20.37,41.89,1016.85,13.42,153.84,39.2,8.74,15.29,0.21,-1.1,-0.11,8,0
20.34,98.4,1009.57,52.16,324.52,4.34,20.02,15.19,2.64,-0.6,-2.39,2,1
27.42,67.7,1023.01,2.56,163.62,70.62,20.96,1.67,4.54,-1.2,1.54,12,0
5.87,76.78,989.82,28.75,70.94,29.11,1.22,6.79,6.41,-1.75,-2.91,5,1
7.75,20.59,1007.55,18.19,57.55,24.51,-8.13,8.27,7.71,-1.79,0.78,12,0
19.38,61.46,1017.45,22.31,170.27,32.43,11.67,16.67,2.31,-1.87,0.17,2,1
14.87,23.0,1021.01,4.97,274.56,72.38,-0.53,8.73,9.2,-2.26,-3.1,12,0
28.14,65.54,1035.39,5.09,358.99,81.88,21.25,18.56,9.3,-3.05,-2.99,7,1
15.92,93.66,1007.13,35.47,283.47,58.81,14.65,19.93,6.98,-1.14,-1.71,10,1
10.88,97.47,1035.19,6.69,315.72,32.25,10.37,15.72,10.13,-1.92,-0.69,8,1
